"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","1989","1"
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","1599.89","1"
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","2085.13",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","2270",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","2173.8",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","1401.8",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","1138",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","1130",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","1100","1"
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","1052",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","933",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","820",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","820",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","820",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","805",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","785",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","785",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","525",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","360",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","360",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","305",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","308",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","308",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","305",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","140",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","140",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","140",""
"Indonesia","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","140",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","767",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","767",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","767",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","768",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","768",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","729",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","728",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","728",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","728",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","695",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","671",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","671",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","671",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","671",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","642",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","707",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","666",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","573",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","590",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","585",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","547",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","529",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","485",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","470",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","470",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","471",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","471",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","567",""
"Italy","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","496",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","474",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","477",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","526",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","516",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","508",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","512",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","512",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","537",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","537",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","535",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","532",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","532",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","532",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","535",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","535",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","535",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","533",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","533",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","533",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","533",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1998","Kilowatts,  thousand","533",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1997","Kilowatts,  thousand","530",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1996","Kilowatts,  thousand","530",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1995","Kilowatts,  thousand","504",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1994","Kilowatts,  thousand","379",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1993","Kilowatts,  thousand","299",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1992","Kilowatts,  thousand","270",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1991","Kilowatts,  thousand","270",""
"Japan","Electricity - total net installed capacity of electric power plants, geothermal","1990","Kilowatts,  thousand","270",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2018","Kilowatts,  thousand","627",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2017","Kilowatts,  thousand","652",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2016","Kilowatts,  thousand","644",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2015","Kilowatts,  thousand","619",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2014","Kilowatts,  thousand","558",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2013","Kilowatts,  thousand","236.5",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2012","Kilowatts,  thousand","199.6",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2011","Kilowatts,  thousand","190.6",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2010","Kilowatts,  thousand","189",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2009","Kilowatts,  thousand","158",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2008","Kilowatts,  thousand","128",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2007","Kilowatts,  thousand","115",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2006","Kilowatts,  thousand","125",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2005","Kilowatts,  thousand","125",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2004","Kilowatts,  thousand","125",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2003","Kilowatts,  thousand","100",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2002","Kilowatts,  thousand","57",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2001","Kilowatts,  thousand","57",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","2000","Kilowatts,  thousand","45",""
"Kenya","Electricity - total net installed capacity of electric power plants, geothermal","1999","Kilowatts,  thousand","45",""
