"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","13716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","13716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","13716",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","12016",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","10316",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","9616",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","8616",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","7616",""
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","7616","1"
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","7616","1"
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1991","Kilowatts,  thousand","7616","1"
"Korea, Republic of","Electricity - total net installed capacity of electric power plants, nuclear","1990","Kilowatts,  thousand","7616","1"
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","1183",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","1183",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","1183",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","1183",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","1183",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","2000","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1999","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1998","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1997","Kilowatts,  thousand","2367",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1996","Kilowatts,  thousand","2730",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1995","Kilowatts,  thousand","2730",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1994","Kilowatts,  thousand","2730",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1993","Kilowatts,  thousand","2730",""
"Lithuania","Electricity - total net installed capacity of electric power plants, nuclear","1992","Kilowatts,  thousand","2730",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2018","Kilowatts,  thousand","1608",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2017","Kilowatts,  thousand","1608",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2016","Kilowatts,  thousand","1608",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2015","Kilowatts,  thousand","1510",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2014","Kilowatts,  thousand","1400",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2013","Kilowatts,  thousand","1400",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2012","Kilowatts,  thousand","1400",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2011","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2010","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2009","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2008","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2007","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2006","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2005","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2004","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2003","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2002","Kilowatts,  thousand","1365",""
"Mexico","Electricity - total net installed capacity of electric power plants, nuclear","2001","Kilowatts,  thousand","1365",""
